id;name;publication;isbn;edition;is_assigned;author_id;subject_id
1;Handmade Cotton Table CSS;Mayotte Dynamic SAS;90268;Gloves real-time Tasty Fresh Chips;true;1;1
2;radical solid state synthesizing;intuitive high-level Sleek Rubber Mouse;74365;Wyoming Sudan;true;2;2
3;Overpass toolset;architectures synthesizing Industrial;70037;redefine;true;3;3
4;parsing;secondary driver;58587;connecting;false;4;4
5;Soft;FTP Points;56707;markets;true;5;5
6;override;bus;88762;cross-platform;true;6;6
7;optical Berkshire Developer;Fish online;64192;payment Small Soft Keyboard;false;7;7
8;navigating Club Practical Granite Chicken;generate Health deposit;37325;CSS Soft;false;8;8
9;Czech Koruna;Soap Producer hard drive;85765;Personal Loan Account;false;9;9
10;Web Checking Account Industrial;back-end Future-proofed compressing;93660;channels;false;10;10
