id;name;address;contact_no
1;Executive SMS Shoes;Mongolia Washington;leading-edge mesh
2;redundant;interface microchip Skyway;Tools customized
3;Savings Account indigo Facilitator;Dynamic;panel Ergonomic
4;pixel;cross-platform cross-platform;Producer Gorgeous Metal Car redundant
5;primary Cambridgeshire;Cambridgeshire empowering sensor;Health JBOD Outdoors
6;synthesize JBOD Bermudian Dollar (customarily known as Bermuda Dollar);firewall regional;synergistic
7;plum North Dakota;Handcrafted;SCSI
8;Orchard;Cotton local area network;maximized Extended
9;solid state Tasty Automotive;compressing Avon withdrawal;Producer streamline Plastic
10;optimizing Games projection;Outdoors Berkshire;Pizza
